series,form,A_um_per_s,A_um_per_h,A_ci95_um_per_h,C_um,t0_s,t0_h,r2,rms_resid_um,max_resid_um,n_pts,t_lo_s,t_hi_s,w_lo_um,w_hi_um,anchor_w_um,anchor_t_model_s,anchor_t_data_s
model (full run),free,0.00013731252041620498,0.49432507349833793,0.07350407418664394,27.860196907242656,-202896.26046333008,-56.36007235092502,0.7730770751041319,5.400797496993792,10.390891152956513,53,-27734.220759643933,255401.34224035605,13.66105,53.53935,32.81,27860.657759643935,0.0
model (shared width),free,8.0663418076701e-05,0.29038830507612357,0.024774782647256972,35.269742947495814,-437245.8270235787,-121.4571741732163,0.9599837947155181,1.2311067002234062,2.33497758283864,24,791.7422403560668,255401.34224035605,32.99863,53.53935,32.81,27860.657759643935,0.0
Molaro (full range),free,0.006914061521504971,24.890621477417895,6.516880098204872,37.095244608101005,-5365.188680014313,-1.4903301888928646,0.8889607626694629,3.758451873816764,5.054288344480348,9,0.0,4680.0,32.81,64.78,32.81,27860.657759643935,0.0
Molaro (shared width),free,0.014104865220249828,50.77751479289938,20.967599764209677,33.26321499013806,-2358.279534807841,-0.6550776485577336,0.8824903266461482,1.9667583236756687,3.800157790927031,5,0.0,1080.0,32.81,46.84,32.81,27860.657759643935,0.0
model (pinned @anchor),pinned,9.698868390827844e-05,0.34915926206980236,0.026584544430976156,32.81,0.0,0.0,0.89001835719687,2.040975751708102,4.041690052299941,24,791.7422403560668,255401.34224035605,32.99863,53.53935,32.81,27860.657759643935,0.0
Molaro (pinned @anchor),pinned,0.014696620583717358,52.90783410138249,12.565820154450952,32.81,0.0,0.0,0.8795745223063421,1.991009701467171,3.933824884792621,5,0.0,1080.0,32.81,46.84,32.81,27860.657759643935,0.0
