0.001 0.001 345.0
0.0003857421875 0.00060546875 4.78515625e-05 9.5703125e-05
0.00034375 8.88671875e-05 6.73828125e-05 0.000134765625
0.0006201171875 0.00098046875 6.73828125e-05 0.000134765625
0.0009462890625 0.0001123046875 6.73828125e-05 0.000134765625
0.0009169921875000001 0.0006757812500000001 6.73828125e-05 0.000134765625
0.0003896484375 0.00033984375000000003 6.005859375e-05 0.0001201171875
6.0546875e-05 0.0006552734375 6.73828125e-05 0.000134765625
0.0007998046875000001 0.0004716796875 5.0292968750000004e-05 0.00010058593750000001
5.37109375e-05 0.0001904296875 6.73828125e-05 0.000134765625
0.00058203125 0.0006328125 5.126953125e-05 0.0001025390625
0.0006904296875 0.00031640625 4.443359375e-05 8.88671875e-05
0.0006572265625 9.5703125e-05 6.73828125e-05 0.000134765625
0.0004794921875 0.0008037109375000001 4.541015625e-05 9.08203125e-05
0.00021484375 0.000912109375 6.73828125e-05 0.000134765625
0.0009541015625 0.000984375 6.73828125e-05 0.000134765625
0.0009921875 0.000419921875 4.931640625e-05 9.86328125e-05
0.00015234375 0.000431640625 5.37109375e-05 0.000107421875
