0.0015 0.0015 0.00019638273045507587
0.0009889148191365227 0.0002975495915985998 9.626604434072345e-06 1.925320886814469e-05
0.0010641773628938156 0.0002975495915985998 2.8004667444574095e-05 5.600933488914819e-05
0.0011901983663943991 0.0002607934655775963 3.763127187864644e-05 7.526254375729288e-05
0.0013162193698949825 0.0003553092182030338 4.11318553092182e-05 8.22637106184364e-05
0.0014422403733955658 0.0002607934655775963 3.763127187864644e-05 7.526254375729288e-05
0.0013302217036172694 0.000176779463243874 3.23803967327888e-05 6.47607934655776e-05
0.0010641773628938156 0.00041656942823803964 3.150525087514586e-05 6.301050175029171e-05
0.0011429404900816802 0.0005215869311551925 3.413068844807468e-05 6.826137689614936e-05
0.0010641773628938156 0.00015227537922987163 4.4632438739789964e-05 8.926487747957993e-05
0.0009801633605600933 0.0004515752625437573 1.4002333722287048e-05 2.8004667444574095e-05
0.0009381563593932322 0.00037281213535589265 3.0630105017502916e-05 6.126021003500583e-05
0.0010326721120186698 1.2252042007001167e-05 2.7129521586931155e-05 5.425904317386231e-05
0.0011551925320886815 1.2252042007001167e-05 3.413068844807468e-05 6.826137689614936e-05
0.001148191365227538 0.00039206534422403733 1.2252042007001167e-05 2.4504084014002333e-05
0.0009189031505250875 1.2252042007001167e-05 2.9754959159859976e-05 5.950991831971995e-05
0.0014422403733955658 9.276546091015169e-05 3.763127187864644e-05 7.526254375729288e-05
0.0012619603267211201 0.0006108518086347725 4.025670945157526e-05 8.051341890315052e-05
0.0012619603267211201 0.0007718786464410735 4.025670945157526e-05 8.051341890315052e-05
0.0014422403733955658 0.00036231038506417734 1.3127187864644107e-05 2.6254375729288214e-05
0.0013564760793465577 0.0008978996499416569 3.850641773628938e-05 7.701283547257876e-05
0.001468494749124854 0.0009819136522753792 3.150525087514586e-05 6.301050175029171e-05
0.00144049008168028 0.0008016336056009335 2.5379229871645274e-05 5.075845974329055e-05
0.0014772462077012835 0.0006756126021003501 4.025670945157526e-05 8.051341890315052e-05
0.0014772462077012835 0.0005215869311551925 3.67561260210035e-05 7.3512252042007e-05
0.0009521586931155192 0.0005618436406067677 4.288214702450408e-05 8.576429404900817e-05
0.0008663943990665111 0.00013827304550758458 3.850641773628938e-05 7.701283547257876e-05
