kind,t0_s,t1_s,r_m,rho_m,dK_per_m,v_obs_m_s,alpha_c_min,v_max_alpha1_m_s,v_obs_over_v_max
interval,0.0,120.0,1.660250e-05,1.964739e-06,4.717964e+05,3.291667e-09,0.054499,3.995553e-09,0.8238
interval,120.0,300.0,1.769000e-05,2.265683e-06,4.078937e+05,9.888889e-09,0.189379,3.022094e-09,3.2722
interval,300.0,540.0,2.046000e-05,3.157426e-06,2.908925e+05,1.566667e-08,0.420703,1.572233e-09,9.9646
interval,540.0,1080.0,2.288000e-05,4.098124e-06,2.233625e+05,2.000000e-09,0.069944,9.392302e-10,2.1294
interval,1080.0,1740.0,2.525500e-05,5.185910e-06,1.762888e+05,5.560606e-09,0.246393,5.898605e-10,9.4270
interval,1740.0,2400.0,2.804500e-05,6.698936e-06,1.366752e+05,2.893939e-09,0.165398,3.561269e-10,8.1261
interval,2400.0,3420.0,2.963500e-05,7.688289e-06,1.193788e+05,1.245098e-09,0.081472,2.717424e-10,4.5819
interval,3420.0,4680.0,3.133000e-05,8.855728e-06,1.040577e+05,1.682540e-09,0.126305,2.061243e-10,8.1627
integrated,0.0,4680.0,2.439750e-05,4.773169e-06,1.915714e+05,3.415598e-09,0.139273,6.948529e-10,4.9156

saturation,alpha_c,beta_HK_s_m,v_n_m_s,rel_to_0p1,frac_of_ceiling,Lambda
saturation,0.001,7.333259e+00,2.371129e-11,0.0428,0.0341,29.1592
saturation,0.003,2.444420e+00,6.671003e-11,0.1205,0.0960,9.7197
saturation,0.01,7.333259e-01,1.826171e-10,0.3298,0.2628,2.9159
saturation,0.03,2.444420e-01,3.626387e-10,0.6550,0.5219,0.9720
saturation,0.1,7.333259e-02,5.536687e-10,1.0000,0.7968,0.2916
saturation,0.3,2.444420e-02,6.517644e-10,1.1772,0.9380,0.0972
saturation,1,7.333259e-03,6.948529e-10,1.2550,1.0000,0.0292
