quantity,key,value,unit
a_eff,,1.121712e-04,m
alpha_c,,0.1,-
v_n_target,large_grain_fit,6.254431e-10,m/s
fit_large,slope_um_per_min,-0.075053,um/min
fit_large,pct_78min,-2.9266,%
fit_large,rms_resid_um,1.3214,um
fit_small,slope_um_per_min,-0.016330,um/min
fit_small,pct_78min,-0.8860,%
fit_small,rms_resid_um,1.1541,um
ripening_sigma,,7.913164e-06,-

humidity_grid,L_over_a,L_m,l_eff_m,total_R_s_m,hum0
humidity_grid,1.0800,1.211449e-04,8.308975e-06,0.511118,0.999654
humidity_grid,2.0000,2.243423e-04,5.608558e-05,3.028387,0.997949
humidity_grid,3.0000,3.365135e-04,7.478078e-05,4.013405,0.997282
humidity_grid,4.0000,4.486847e-04,8.412837e-05,4.505914,0.996948
humidity_grid,5.0000,5.608558e-04,8.973693e-05,4.801420,0.996748

proposed_arm,factor,humidity
proposed_arm,0.00,1.0000
proposed_arm,0.40,0.9989
proposed_arm,1.00,0.9973
proposed_arm,2.00,0.9946
proposed_arm,3.20,0.9913
