101µm,,73µm,
X,Y,X,Y
0.16118650174132343,8.781073615948102,0.22648012489491998,13.654377326768312
0.16840398703014292,10.861054401345001,0.23642968656178687,15.731355830431099
0.18659781433889744,13.808094151555153,0.2590008406388855,18.783475441335383
0.22724270445538597,17.60958328329528,0.30949321484328085,22.793923381770114
0.2359433169208599,26.830791401465078,0.3296685480965533,32.00252191665662
0.2791761738921579,37.99207397622189,0.3816140266602617,42.604779632520675
0.2956166686681877,48.85312837756691,0.41064008646571404,53.781674072294905
0.312399423561907,75.97754293262875,0.4328869941155278,80.9000840638885
0.3386874024258435,87.04755614266838,0.4558904767623395,91.86381650054035
