T_C,sigma0,sigma,alpha_c,beta_sub_s_per_m,eps_m,binding,Nx,nodes_2D
-8.233,4.810203e-03,2.700e-03,1.683759e-01,1.564503e+04,1.716536e-07,B-HEAT,3.708000e+03,6.874632e+06
-8.233,4.810203e-03,4.500e-04,2.278657e-05,1.156052e+08,1.228380e-09,B-KINETIC,5.180780e+05,1.342024e+11
-7.744,4.486947e-03,1.000e-01,9.561223e-01,2.637130e+03,3.020085e-08,B-HEAT,2.107300e+04,2.220462e+08
-7.744,4.486947e-03,1.000e-02,6.384610e-01,3.949213e+03,4.522704e-08,B-HEAT,1.407200e+04,9.901059e+07
-7.744,4.486947e-03,2.700e-03,1.897909e-01,1.328525e+04,1.521448e-07,B-HEAT,4.183000e+03,8.750836e+06
-7.744,4.486947e-03,4.500e-04,4.673607e-05,5.395017e+07,2.627345e-09,B-KINETIC,2.422210e+05,2.933563e+10
-7.256,4.166472e-03,1.000e-01,9.591913e-01,2.516492e+03,3.007654e-08,B-HEAT,2.116000e+04,2.238728e+08
-7.256,4.166472e-03,1.000e-02,6.592534e-01,3.661410e+03,4.376034e-08,B-HEAT,1.454300e+04,1.057567e+08
-7.256,4.166472e-03,2.700e-03,2.137094e-01,1.129476e+04,1.349924e-07,B-HEAT,4.715000e+03,1.111797e+07
-7.256,4.166472e-03,4.500e-04,9.526694e-05,2.533719e+07,5.584089e-09,B-KINETIC,1.139660e+05,6.494125e+09
-6.767,4.657916e-03,1.000e-01,9.544890e-01,2.421321e+03,3.019697e-08,B-HEAT,2.107500e+04,2.220884e+08
-6.767,4.657916e-03,1.000e-02,6.276381e-01,3.682256e+03,4.592245e-08,B-HEAT,1.385900e+04,9.604287e+07
-6.767,4.657916e-03,2.700e-03,1.781456e-01,1.297323e+04,1.617928e-07,B-HEAT,3.934000e+03,7.738178e+06
-6.767,4.657916e-03,4.500e-04,3.196326e-05,7.230565e+07,1.953175e-09,B-KINETIC,3.258270e+05,5.308178e+10
-6.278,6.525017e-03,1.000e-01,9.368331e-01,2.362380e+03,3.073789e-08,B-HEAT,2.070400e+04,2.143278e+08
-6.278,6.525017e-03,1.000e-02,5.207414e-01,4.250010e+03,5.529860e-08,B-HEAT,1.150900e+04,6.623430e+07
-6.278,6.525017e-03,2.700e-03,8.921796e-02,2.480617e+04,3.227632e-07,B-HEAT,1.972000e+03,1.944392e+06
-6.278,6.525017e-03,4.500e-04,5.043286e-07,4.388321e+09,3.212320e-11,B-KINETIC,1.981110e+07,1.962399e+14
-5.789,7.740252e-03,1.000e-01,9.255172e-01,2.290246e+03,3.108526e-08,B-HEAT,2.047300e+04,2.095821e+08
-5.789,7.740252e-03,1.000e-02,4.611531e-01,4.596439e+03,6.238696e-08,B-HEAT,1.020100e+04,5.203530e+07
-5.789,7.740252e-03,2.700e-03,5.688294e-02,3.726358e+04,5.057745e-07,B-HEAT,1.259000e+03,7.931700e+05
-5.789,7.740252e-03,4.500e-04,3.387600e-08,6.257120e+10,2.248786e-12,B-KINETIC,2.829954e+08,4.004319e+16
-5.301,7.134446e-03,1.000e-01,9.311411e-01,2.180575e+03,3.086931e-08,B-HEAT,2.061600e+04,2.125097e+08
-5.301,7.134446e-03,1.000e-02,4.899536e-01,4.144113e+03,5.866613e-08,B-HEAT,1.084800e+04,5.883955e+07
-5.301,7.134446e-03,2.700e-03,7.119110e-02,2.852074e+04,4.037539e-07,B-HEAT,1.577000e+03,1.244253e+06
-5.301,7.134446e-03,4.500e-04,1.301830e-07,1.559668e+10,9.005280e-12,B-KINETIC,7.066922e+07,2.497069e+15
-4.812,6.524381e-03,1.000e-01,9.368390e-01,2.076378e+03,3.065361e-08,B-HEAT,2.076100e+04,2.155199e+08
-4.812,6.524381e-03,1.000e-02,5.207745e-01,3.735267e+03,5.514382e-08,B-HEAT,1.154100e+04,6.660311e+07
-4.812,6.524381e-03,2.700e-03,8.923899e-02,2.179801e+04,3.218044e-07,B-HEAT,1.978000e+03,1.956242e+06
-4.812,6.524381e-03,4.500e-04,5.050424e-07,3.851622e+09,3.639940e-11,B-KINETIC,1.748370e+07,1.528398e+14
-4.323,5.909586e-03,1.000e-01,9.426164e-01,1.977360e+03,3.043802e-08,B-HEAT,2.090800e+04,2.185722e+08
-4.323,5.909586e-03,1.000e-02,5.537962e-01,3.365664e+03,5.180856e-08,B-HEAT,1.228400e+04,7.544833e+07
-4.323,5.909586e-03,2.700e-03,1.120583e-01,1.663323e+04,2.560397e-07,B-HEAT,2.486000e+03,3.090098e+06
-4.323,5.909586e-03,4.500e-04,1.980000e-06,9.413595e+08,1.486593e-10,B-KINETIC,4.280904e+06,9.163070e+12
-3.835,5.402434e-03,1.000e-01,9.474090e-01,1.885369e+03,3.025656e-08,B-HEAT,2.103400e+04,2.212146e+08
-3.835,5.402434e-03,1.000e-02,5.826065e-01,3.065905e+03,4.920188e-08,B-HEAT,1.293500e+04,8.366358e+07
-3.835,5.402434e-03,2.700e-03,1.352134e-01,1.321035e+04,2.120008e-07,B-HEAT,3.002000e+03,4.506002e+06
-3.835,5.402434e-03,4.500e-04,6.111074e-06,2.922917e+08,4.779058e-10,B-KINETIC,1.331636e+06,8.866272e+11
-3.346,5.099126e-03,1.000e-01,9.502870e-01,1.801590e+03,3.013759e-08,B-HEAT,2.111700e+04,2.229744e+08
-3.346,5.099126e-03,1.000e-02,6.005481e-01,2.850776e+03,4.768871e-08,B-HEAT,1.334500e+04,8.905118e+07
-3.346,5.099126e-03,2.700e-03,1.512887e-01,1.131629e+04,1.893027e-07,B-HEAT,3.362000e+03,5.651522e+06
-3.346,5.099126e-03,4.500e-04,1.199057e-05,1.427812e+08,9.765630e-10,B-KINETIC,6.516700e+05,2.123369e+11
-2.857,4.769057e-03,1.000e-01,9.534288e-01,1.721323e+03,3.001111e-08,B-HEAT,2.120600e+04,2.248472e+08
-2.857,4.769057e-03,1.000e-02,6.207011e-01,2.644041e+03,4.609861e-08,B-HEAT,1.380600e+04,9.530282e+07
-2.857,4.769057e-03,2.700e-03,1.709614e-01,9.599588e+03,1.673679e-07,B-HEAT,3.803000e+03,7.233306e+06
-2.857,4.769057e-03,4.500e-04,2.496828e-05,6.572975e+07,2.117500e-09,B-KINETIC,3.005420e+05,4.516275e+10
-2.368,4.404571e-03,1.000e-01,9.569102e-01,1.644304e+03,2.987493e-08,B-HEAT,2.130300e+04,2.269196e+08
-2.368,4.404571e-03,1.000e-02,6.437421e-01,2.444226e+03,4.440850e-08,B-HEAT,1.433100e+04,1.026959e+08
-2.368,4.404571e-03,2.700e-03,1.956706e-01,8.041324e+03,1.461007e-07,B-HEAT,4.356000e+03,9.487368e+06
-2.368,4.404571e-03,4.500e-04,5.612467e-05,2.803493e+07,4.955659e-09,B-KINETIC,1.284190e+05,8.245784e+09
-1.880,4.091985e-03,1.000e-01,9.599061e-01,1.571771e+03,2.975485e-08,B-HEAT,2.138800e+04,2.287233e+08
-1.880,4.091985e-03,1.000e-02,6.641824e-01,2.271593e+03,4.300304e-08,B-HEAT,1.479900e+04,1.095126e+08
-1.880,4.091985e-03,2.700e-03,2.196873e-01,6.867726e+03,1.300114e-07,B-HEAT,4.895000e+03,1.198296e+07
-1.880,4.091985e-03,4.500e-04,1.124164e-04,1.342110e+07,1.033307e-08,B-KINETIC,6.158900e+04,1.896633e+09
-1.391,4.053306e-03,1.000e-01,9.602774e-01,1.506772e+03,2.971659e-08,B-HEAT,2.141600e+04,2.293225e+08
-1.391,4.053306e-03,1.000e-02,6.667563e-01,2.170087e+03,4.279849e-08,B-HEAT,1.487000e+04,1.105584e+08
-1.391,4.053306e-03,2.700e-03,2.228571e-01,6.492587e+03,1.280469e-07,B-HEAT,4.971000e+03,1.235791e+07
-1.391,4.053306e-03,4.500e-04,1.225065e-04,1.181096e+07,1.172063e-08,B-KINETIC,5.429800e+04,1.474136e+09
