# periodic 2D packing, generated 2026-08-01T18:04:32.704760+00:00
# porosity_achieved = 0.355817  (target 0.325000)
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
1.000000000000e-03 1.000000000000e-03
3.361517220051e-04 8.953537320520e-04 2.000000000000e-04
3.258452538894e-04 4.455424155419e-04 2.458994624885e-05
1.120451280541e-05 8.362831959861e-04 1.087682649415e-04
6.010990080374e-04 8.907555008123e-04 6.643907636944e-05
4.886078283388e-04 1.137868366637e-04 7.037552454012e-05
7.598182944540e-04 9.606347985899e-04 7.923131439430e-05
1.163996555858e-05 3.622177368096e-04 3.214243505416e-05
7.476295459554e-04 4.180433626581e-04 7.858681970686e-05
3.668016748658e-04 1.496967660149e-04 5.725778683960e-05
1.315720856868e-04 5.562928924140e-04 2.000000000000e-04
6.126035050013e-04 3.092785300183e-04 9.879662977689e-05
9.075127691564e-04 9.818864573459e-04 7.398443911169e-05
2.053075590988e-04 2.937829840126e-04 7.667122514591e-05
5.068744347521e-04 5.522820529509e-04 6.319006016628e-05
3.021085140384e-04 3.726682417964e-04 5.207030946390e-05
8.316601709052e-04 5.388781377617e-04 7.258582808760e-05
7.503484752879e-04 1.546017465334e-04 1.122965208311e-04
2.190092565057e-04 1.434098814104e-04 7.832707923233e-05
7.818623934248e-04 7.439629314746e-04 1.424583302244e-04
5.635960324832e-04 7.392548174730e-04 7.985952242423e-05
6.553858447496e-04 5.535377457892e-04 8.932665829980e-05
