# periodic 2D packing, generated 2026-07-28T01:51:39.613233+00:00
# porosity_achieved = 0.323142  (target 0.325000)
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
2.000000000000e-03 2.000000000000e-03
1.247408606421e-03 1.642351321857e-03 2.866758131646e-05
8.565532988685e-04 1.390961321790e-03 3.639035778763e-05
1.027778551688e-03 3.715454425277e-04 9.000000000000e-05
1.606395506630e-03 3.085412903560e-04 5.521509437286e-05
5.993794710896e-04 5.852597316715e-04 1.747836521139e-05
1.356205116174e-03 1.565977707310e-03 3.960917794459e-05
1.818213492763e-03 7.742465156942e-04 2.907650963853e-05
1.503005430348e-03 1.163782750996e-03 4.277604507523e-05
1.147585967970e-03 9.535339102892e-04 1.777101212825e-05
1.421471728818e-03 1.236015231417e-03 4.481524753183e-05
1.840072168814e-03 9.124284469055e-04 4.467226990900e-05
1.017198645702e-04 2.424856695259e-04 8.731091690504e-05
1.961865949841e-03 1.947190738867e-03 4.652477647015e-05
9.062348618405e-04 1.152341167701e-03 5.126128662591e-05
1.756176574166e-03 4.806232803357e-05 1.882346344577e-05
1.436932299164e-04 4.188711740421e-04 9.000000000000e-05
5.559443946655e-04 1.865795383587e-03 1.523872234008e-05
1.055851392285e-03 1.864075620405e-03 6.889360910912e-05
1.086816183366e-03 9.932596713969e-04 3.367347558534e-05
1.901026934597e-03 6.726647437763e-04 2.556794020221e-05
6.197571237569e-04 9.420684723292e-04 2.860323960479e-05
5.077830659040e-04 6.954158951791e-04 2.837916216975e-05
1.273763758975e-03 9.798084868128e-04 4.802669662068e-05
3.471897263316e-04 1.204940617899e-03 3.758605643530e-05
1.819595313389e-03 3.149795870781e-04 8.334162058647e-05
5.126833828131e-04 1.891441306973e-03 1.590861009467e-05
1.984173779067e-03 5.114861169246e-04 3.965123152261e-05
1.202615022260e-03 1.411222575156e-04 2.542249966764e-05
4.811940292209e-04 1.287418250055e-03 5.853345162736e-05
1.829830478168e-03 7.282636393456e-04 1.377193008251e-05
3.347799216730e-04 1.475327427952e-03 3.344209095167e-05
8.907301086531e-04 3.886572415551e-04 4.411275428446e-05
1.214271108420e-03 1.111872511198e-03 1.890692387880e-05
9.581132312243e-04 2.281637764825e-04 6.499239617953e-05
6.381022648727e-05 1.723936825048e-03 4.342430052452e-05
9.996282094701e-04 5.335766763651e-04 6.569947109304e-05
3.189202635108e-04 1.916660474501e-03 6.415197764963e-05
4.827974119473e-05 4.888596870531e-04 2.433060946896e-05
1.811836936458e-03 1.151233822272e-03 2.664934602272e-05
4.370849240736e-04 8.652443923901e-04 3.587340620977e-05
1.051971625421e-04 1.925727086998e-03 5.772222912285e-05
1.998820306788e-03 7.400893138242e-04 6.077303183689e-05
1.721018351450e-03 1.205617956713e-03 2.784964040431e-05
1.770620410916e-03 1.800133939602e-03 2.931396129199e-05
1.549587137901e-03 1.110437710265e-04 2.664898416334e-05
1.582047799591e-03 1.019908338876e-03 2.965240915290e-05
6.006579083973e-04 1.791021321624e-03 3.525829430414e-05
1.106478284354e-03 5.311159670129e-04 3.717940451620e-05
1.478227313828e-03 2.105814415757e-04 9.000000000000e-05
5.352353300044e-04 1.211286043882e-03 3.082914965802e-05
1.428214262071e-03 1.595911427281e-03 3.437399455520e-05
1.559271078590e-03 1.748801523041e-03 4.994644614511e-05
1.024603640813e-03 9.971179074199e-04 2.465859341520e-05
1.244843523984e-03 4.426114942893e-04 3.302777635674e-05
1.933060177653e-03 1.292674686003e-04 3.997769726944e-05
8.347524373904e-04 8.426459762650e-04 5.848296196054e-05
6.560503761703e-04 2.496689900476e-04 2.056632563619e-05
7.013686976771e-04 1.226522153421e-03 7.883816589777e-05
1.824615920304e-03 1.357123699333e-03 3.329588470175e-05
1.892037080242e-03 1.313105239124e-03 4.322291093232e-05
1.171938772535e-04 5.712392392214e-04 6.065527716455e-05
1.067680477085e-03 1.991682574261e-03 5.526053221928e-05
5.273777986641e-04 1.544270245754e-03 6.744270569073e-05
1.284386949070e-03 1.306208635517e-03 4.330470969305e-05
1.889121316010e-03 1.624411487931e-03 3.932481769518e-05
4.462564826312e-04 1.890858873086e-03 4.652090397424e-05
8.390087546399e-04 7.296879991410e-04 2.413842078890e-05
6.601125106881e-04 1.600920778252e-03 7.287576734804e-05
1.440028257669e-03 9.206325444882e-04 2.694962453777e-05
1.634002062880e-03 8.031171831580e-04 2.114789873211e-05
5.214064424643e-05 6.787003165704e-05 9.000000000000e-05
4.557871794311e-04 3.573574844802e-04 3.709343575065e-05
7.442029250031e-04 1.027909064341e-03 2.202327951347e-05
1.774144678648e-03 1.546311915203e-03 9.000000000000e-05
1.521422770194e-03 1.324259264678e-03 3.367669912379e-05
1.234191983530e-03 7.967601355460e-04 6.753867411540e-05
1.894143745499e-03 1.553762201426e-03 2.623037598923e-05
7.264005346646e-04 4.807900626293e-04 3.506741946868e-05
1.622333373444e-03 1.050729760290e-03 1.707128501354e-05
4.938465352324e-04 1.002071508043e-03 1.528990505569e-05
5.212511607264e-04 3.577924960573e-04 2.437225013972e-05
1.794933934327e-03 4.380676007584e-04 3.819264586687e-05
1.678123798476e-03 1.800674576858e-03 5.918424323332e-05
1.202931174319e-03 3.151762353345e-04 9.000000000000e-05
3.894079662519e-04 1.975561725552e-03 2.370606665107e-05
6.108901750147e-04 6.717466934493e-04 6.577123861476e-05
1.887748048959e-03 4.449129557204e-06 2.935585485973e-05
9.413143526700e-04 1.414581004382e-03 3.679631987284e-05
7.396722789675e-05 9.561204558474e-04 1.893603424408e-05
4.920693498923e-04 1.816774618768e-03 1.895693108907e-05
1.218243039225e-03 1.952415978189e-04 2.690823001613e-05
1.787321452887e-03 1.104787629721e-03 2.186981069260e-05
9.067034132074e-04 1.487192147296e-03 3.964184667124e-05
5.910068499786e-04 1.467914643917e-03 2.794966623064e-05
1.711294998084e-03 6.806921473103e-04 7.421832049550e-05
