timestamp,inputs_dir,metadata_dir,grains_ice_dat,grains_soil_dat,env_file,preview_png,mode,Lx,Ly,Lz,phi_target,phi_achieved,soil_frac_solid,seed
2025-10-23T12:48:19.158004-07:00,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.3__Lxmm=2__Lymm=2__seed=7,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.3__Lxmm=2__Lymm=2__seed=7,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.3__Lxmm=2__Lymm=2__seed=7/grains_ice.dat,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.3__Lxmm=2__Lymm=2__seed=7/grains_soil.dat,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.3__Lxmm=2__Lymm=2__seed=7/grains.env,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.3__Lxmm=2__Lymm=2__seed=7/preview.png,nonoverlap_poly,0.002,0.002,0.00019765625000000002,0.3,0.2993192672729492,0.5,7
2025-10-23T12:51:39.541376-07:00,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.35__Lxmm=2__Lymm=2__seed=7,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.35__Lxmm=2__Lymm=2__seed=7,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.35__Lxmm=2__Lymm=2__seed=7/grains_ice.dat,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.35__Lxmm=2__Lymm=2__seed=7/grains_soil.dat,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.35__Lxmm=2__Lymm=2__seed=7/grains.env,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.35__Lxmm=2__Lymm=2__seed=7/preview.png,nonoverlap_poly,0.002,0.002,0.00019765625000000002,0.35,0.3493776321411133,0.5,7
2025-10-23T13:24:29.554571-07:00,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.5__Lxmm=2__Lymm=2__seed=7,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.5__Lxmm=2__Lymm=2__seed=7,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.5__Lxmm=2__Lymm=2__seed=7/grains_ice.dat,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.5__Lxmm=2__Lymm=2__seed=7/grains_soil.dat,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.5__Lxmm=2__Lymm=2__seed=7/grains.env,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.5__Lxmm=2__Lymm=2__seed=7/preview.png,interleaved,0.002,0.002,0.000193359375,0.5,0.4997577667236328,0.5,7
2025-10-23T13:28:50.918855-07:00,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.45__Lxmm=2__Lymm=2__seed=7,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.45__Lxmm=2__Lymm=2__seed=7,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.45__Lxmm=2__Lymm=2__seed=7/grains_ice.dat,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.45__Lxmm=2__Lymm=2__seed=7/grains_soil.dat,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.45__Lxmm=2__Lymm=2__seed=7/grains.env,/Users/jacksonbaglino/PetIGA-3.20/projects/permafrost/inputs/grains__phi=0.45__Lxmm=2__Lymm=2__seed=7/preview.png,interleaved,0.002,0.002,0.000193359375,0.45,0.44954490661621094,0.5,7
