# periodic 2D packing, generated 2026-07-28T01:51:08.384670+00:00
# porosity_achieved = 0.248456  (target 0.250000)
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
2.000000000000e-03 2.000000000000e-03
1.389608149192e-03 1.898855289182e-03 2.866758131646e-05
4.664399586542e-04 1.847341846613e-03 3.639035778763e-05
1.540387229854e-03 5.950571038205e-04 9.000000000000e-05
1.613954287945e-03 1.631003297915e-03 5.521509437286e-05
1.033950434424e-03 2.876637334816e-04 1.747836521139e-05
1.218758325410e-03 4.473297305237e-04 3.960917794459e-05
4.411068050102e-05 1.953876396478e-03 2.907650963853e-05
8.048934146408e-04 3.152909216598e-04 4.277604507523e-05
6.599226778443e-04 1.168404503647e-03 1.777101212825e-05
7.139048967651e-04 1.524650914273e-03 4.481524753183e-05
1.830662357387e-03 1.621482758132e-03 4.467226990900e-05
1.939629154718e-03 1.893103454305e-03 8.731091690504e-05
1.275146824555e-04 1.907688827978e-04 4.652477647015e-05
1.138227090689e-03 1.543080007802e-03 5.126128662591e-05
4.074743529560e-04 1.260054945529e-03 1.882346344577e-05
1.338483805782e-03 1.047301237683e-03 9.000000000000e-05
1.971904376162e-03 5.790787647325e-04 1.523872234008e-05
2.931140029917e-04 1.725104556144e-03 6.889360910912e-05
7.462274963769e-04 8.200738113276e-04 3.367347558534e-05
7.362425089855e-04 1.420249109057e-03 2.556794020221e-05
1.418180712023e-03 5.800311458304e-04 2.860323960479e-05
1.713174665815e-03 9.027221924088e-04 2.837916216975e-05
8.721293123818e-05 1.885174695096e-03 4.802669662068e-05
4.925447166324e-04 5.167803701520e-04 3.758605643530e-05
7.078704458713e-04 1.757714525580e-03 8.334162058647e-05
1.937323540997e-03 1.627010577046e-04 1.590861009467e-05
1.461892541559e-03 1.901085409034e-03 3.965123152261e-05
1.267013303953e-03 1.363729712843e-03 2.542249966764e-05
1.927784594994e-03 7.381374171342e-04 5.853345162736e-05
8.351231380709e-04 1.603815157351e-03 1.377193008251e-05
1.694344494283e-03 1.544896503682e-03 3.344209095167e-05
4.669192337529e-04 1.932348876071e-03 4.411275428446e-05
5.732539837278e-04 1.476686477595e-03 1.890692387880e-05
1.792174967556e-03 1.514532945179e-03 6.499239617953e-05
1.757635765248e-03 7.623169440143e-04 4.342430052452e-05
1.178275572546e-03 1.754914678836e-03 6.569947109304e-05
3.383610524703e-04 1.595744534717e-03 6.415197764963e-05
6.333538535831e-04 9.869355687373e-04 2.433060946896e-05
1.926972927354e-03 5.883995807613e-04 2.664934602272e-05
9.262211071641e-04 1.949680512795e-03 3.587340620977e-05
1.227263421286e-04 9.761777633667e-04 5.772222912285e-05
5.211522250544e-04 1.762250231276e-03 6.077303183689e-05
1.179686573415e-03 1.572480703999e-04 2.784964040431e-05
1.750805716028e-03 6.779581399660e-04 2.931396129199e-05
9.032128442842e-04 4.818290911267e-04 2.664898416334e-05
5.273619658163e-04 1.502306721628e-03 2.965240915290e-05
1.709234865977e-03 8.293520575045e-04 3.525829430414e-05
6.592015988318e-04 1.643098748040e-03 3.717940451620e-05
5.242144331234e-04 8.295239319944e-04 9.000000000000e-05
1.151662711222e-03 5.606198956410e-04 3.082914965802e-05
1.025439920732e-03 6.671256951152e-04 3.437399455520e-05
1.676162484260e-03 4.883922422668e-04 4.994644614511e-05
8.201116203561e-04 1.115241771667e-03 2.465859341520e-05
1.210909561011e-03 1.041970543753e-03 3.302777635674e-05
9.250552707402e-04 1.823382865777e-03 3.997769726944e-05
1.249366415174e-03 7.609759861607e-04 5.848296196054e-05
1.803961758959e-03 2.633191411541e-04 2.056632563619e-05
2.183936185023e-04 1.908006729262e-03 7.883816589777e-05
1.777277724565e-03 1.921078208945e-03 3.329588470175e-05
1.838749959753e-03 1.152680302588e-03 4.322291093232e-05
8.305959922299e-04 6.328716810564e-05 6.065527716455e-05
7.700216127945e-06 1.025581843028e-03 5.526053221928e-05
9.755864122542e-04 4.156171455605e-04 6.744270569073e-05
1.262826190278e-03 6.451642369479e-04 4.330470969305e-05
3.899301322883e-04 8.552576152290e-04 3.932481769518e-05
3.868012244456e-04 8.824712641800e-05 4.652090397424e-05
7.176977783567e-04 1.030735297590e-03 2.413842078890e-05
1.756556095647e-03 1.065113979860e-03 7.287576734804e-05
1.200537712267e-03 5.205634344954e-04 2.694962453777e-05
1.391059929135e-03 1.992420290825e-04 2.114789873211e-05
1.189901776802e-03 1.272540201833e-03 9.000000000000e-05
1.341344739721e-03 1.455491605352e-03 3.709343575065e-05
8.883189214756e-04 1.998623524598e-03 2.202327951347e-05
9.887953755192e-04 1.259923675913e-03 9.000000000000e-05
