# periodic 2D packing, generated 2026-07-28T01:51:04.443692+00:00
# porosity_achieved = 0.250024  (target 0.250000)
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
2.000000000000e-03 2.000000000000e-03
1.695055826369e-03 9.483055177351e-04 9.000000000000e-05
4.325787579176e-04 1.670575508789e-03 1.106547581198e-05
3.221599407075e-04 1.396564759084e-03 4.894571922366e-05
9.814023082208e-04 9.943748967388e-04 2.989758436625e-05
1.143759260164e-03 9.939561916059e-04 3.166898604305e-05
6.553846960979e-04 4.688754246882e-05 3.565409147743e-05
1.185614482243e-03 6.902830509706e-04 1.446409577437e-05
1.351171683256e-03 8.671783555953e-04 3.536406886809e-05
1.637634454799e-03 8.432024765500e-04 2.576600407782e-05
4.751574858724e-04 1.419797501299e-03 9.000000000000e-05
1.222332950305e-03 1.102111025852e-04 4.445848339960e-05
2.135635544757e-06 1.361139148353e-03 3.329299760026e-05
1.654869850915e-04 5.097593185701e-05 3.450205131566e-05
1.896034794816e-05 6.653721353970e-04 2.843552707482e-05
2.195039885448e-04 7.142234630332e-04 2.343163925876e-05
1.571917601267e-03 1.155219548678e-03 3.266362263942e-05
7.429604521464e-04 1.218445244651e-03 5.053343437400e-05
1.066650339856e-03 1.086124683162e-03 3.524718565455e-05
8.399848708615e-04 1.147863010840e-04 6.410624860098e-05
4.272680366369e-04 4.886623063937e-04 3.593678509090e-05
6.152571294545e-05 1.597390433971e-03 4.019699623491e-05
5.460670334239e-04 7.284616821536e-04 8.601940543363e-05
1.687458452344e-03 1.661721439937e-03 5.215474949942e-05
7.595588744995e-04 9.945502987201e-04 3.084726593539e-05
8.313752867671e-04 1.197874535105e-03 3.624288196638e-05
6.211568411969e-04 1.416556296025e-03 5.203544159991e-05
1.562916005531e-03 1.904832306213e-03 9.000000000000e-05
1.483764670209e-03 6.318887331773e-06 3.470390879852e-05
7.749022612956e-04 2.618084983119e-04 3.515908857368e-05
9.323124206100e-04 2.114281955528e-04 6.555039855822e-05
7.361876162690e-04 4.013919249119e-04 2.549372945476e-05
1.153574407708e-03 6.411397945479e-05 3.432254316952e-05
1.230372811720e-03 1.999969656522e-03 6.173999718617e-05
1.168235014864e-03 2.865925346175e-04 5.308197930527e-05
1.725626570242e-03 8.162255308807e-04 4.157174964109e-05
1.923229789573e-03 1.772237643770e-03 5.551840942953e-05
9.523741801208e-05 9.388543523698e-04 9.656017888270e-06
6.624984160721e-04 4.624047972297e-04 6.617587023392e-05
4.878531472968e-05 4.573050619602e-04 2.457771430708e-05
7.495349987228e-04 8.441076176745e-04 1.724207415205e-05
1.610458139244e-03 6.257452824503e-04 4.559898098866e-05
1.319989917101e-03 9.576917405595e-04 5.636987769705e-05
1.132530965764e-03 7.828112501015e-04 3.179403717326e-05
1.861993533479e-04 1.819712302401e-04 2.318393471723e-05
1.607917781011e-03 1.716164838369e-03 4.023450281673e-05
1.145993544121e-03 1.873793069183e-03 3.867869128681e-05
6.896060292896e-04 1.094731620012e-03 8.019503239799e-05
1.568847762559e-03 2.074332764890e-04 5.770630753150e-05
1.211297280432e-05 1.824819320151e-03 4.375344326482e-05
4.663529413531e-04 5.905957652812e-04 6.923310141371e-05
1.595349742165e-03 7.930490574049e-04 3.583413622105e-05
1.020450263057e-04 4.515170047644e-04 2.499592228454e-05
2.806868279225e-04 1.887048974521e-03 5.318049242079e-05
9.722670126342e-04 1.403958338293e-03 5.314009346093e-05
1.418705848539e-03 6.778758885421e-04 3.566778977108e-05
1.170539941705e-03 7.330160030195e-04 2.684979539931e-05
1.941834128487e-03 6.683244068569e-04 4.453339879482e-05
6.285219774965e-04 6.693886350168e-04 1.141256966919e-05
1.408055755678e-03 1.357076506306e-03 5.607695113247e-05
6.865801256621e-04 1.844200625789e-03 5.077208116504e-05
3.975814663444e-04 6.275868155590e-05 1.750057815522e-05
5.006185243605e-05 1.703436989910e-03 4.094948544152e-05
5.352147716039e-04 1.711959883104e-03 2.452302955791e-05
1.962298404797e-03 4.610398601821e-04 5.799014093101e-05
1.130961103358e-04 4.392001363382e-05 1.436189980185e-05
1.091523264683e-03 1.734182667525e-03 2.513886916817e-05
1.779526764278e-03 1.418384709294e-03 5.662510757844e-05
1.425693412669e-03 2.163774891799e-04 7.080028414127e-05
5.922141395479e-04 8.930602888514e-04 1.349959654858e-05
1.303417639257e-03 1.481881445739e-03 3.095834426240e-05
2.520894073851e-04 1.067161258776e-03 4.679014182835e-05
9.942670844000e-04 1.344222507850e-04 2.928438447248e-05
5.067041086852e-04 1.599010898745e-03 8.796883512369e-05
1.737122678003e-03 7.497501041973e-04 2.189042111132e-05
1.671795561967e-03 5.505835527649e-04 4.741451772448e-05
1.540250256757e-03 6.927139049784e-04 2.351079624890e-05
6.580934710813e-04 2.372209088895e-04 8.020966038828e-05
1.603680230135e-03 7.143700623554e-04 3.928476855761e-05
1.890540200075e-03 3.757155951330e-05 3.296799385917e-05
7.671872927027e-04 7.104887021283e-05 1.682002288126e-05
1.030211925346e-03 3.374120261424e-04 9.000000000000e-05
3.380736919814e-04 5.333324500982e-04 5.786147467179e-05
2.153693287083e-04 5.893674337838e-04 5.788419684352e-05
1.447708022863e-03 9.308056388986e-04 7.014770702203e-05
9.804603698792e-05 6.754437468110e-04 4.728890866230e-05
1.145701761528e-03 1.754850249839e-03 2.884795724791e-05
3.178340185442e-04 3.665651556116e-04 2.661678085939e-05
1.431563756919e-03 4.558572011849e-05 2.661732980514e-05
1.477368861862e-03 7.807789424669e-04 7.878311209949e-05
1.836441084438e-03 1.994378495065e-03 1.913409628094e-05
7.635289431334e-04 6.597930960870e-04 2.947309265964e-05
7.508741731767e-04 1.642647479248e-04 3.381960047509e-05
8.148740380335e-04 1.705295016661e-03 4.443253638103e-05
1.448691727030e-03 3.420397017596e-04 5.294942348231e-05
1.549408453898e-03 1.487260045114e-03 2.126609425099e-05
2.087131976991e-04 1.768308822901e-03 1.672083863734e-05
5.826597483580e-04 3.870259309337e-04 3.962480747297e-05
8.521905897786e-05 5.519664096961e-04 7.285305027676e-05
5.501618336652e-04 1.122487791924e-03 5.798541534862e-05
1.377610059327e-03 1.699191123881e-03 4.423374156245e-05
1.830894906936e-03 1.786349845650e-03 3.388880309895e-05
