eps_m,band_per_Rave,porosity,k_xx,k_yy,k_iso,k_anis,ssa_per_m,D_xx_over_D0,D_yy_over_D0,band_per_h
9e-08,0.33119999999999994,0.3221033666477675,0.8581954698055211,0.6505153181377192,0.7543553939716201,0.7580036728522174,364644.5238447755,0.0015655406159643963,0.0037276687147768904,16.95744
6.3e-08,0.23183999999999996,0.3235208511040961,0.7875028724921336,0.5824135734953835,0.6849582229937585,0.7395700940775949,388121.4103007044,0.001471311190522045,0.0036641626809786818,11.870207999999998
4.5e-08,0.16559999999999997,0.32418790766168903,0.7335549943710968,0.5357873997404967,0.6346711970557968,0.7303984075520427,406017.0940878939,0.0013956568131962195,0.003621083750682258,8.47872
3.2e-08,0.11775999999999999,0.3245313888470861,0.6832737260932761,0.4996841885683645,0.5914789573308203,0.7313089461604014,420346.3162966623,0.0013440133330046547,0.0035845252587265834,6.029311999999999
2.25e-08,0.08279999999999998,0.3247091142120868,0.6333375335601731,0.4701994361309984,0.5517684848455857,0.7424152386609264,431641.36563673255,0.0013204564891803492,0.0035047530943582072,4.23936
