name,n_grains,raster,band_per_h,k_at_eps1,k_sharp,bias,k_anis,frac_contacts_spurious,L_over_R
LR10_phi0.325_seed1,26,512,8.47872,0.7569711103144522,0.6598516128672607,0.14718384490291236,0.6963492592848971,0.18604651162790697,10
LR10_phi0.325_seed2,19,512,8.47872,0.629723330771346,0.5112946709583885,0.23162506190602516,1.036732151123884,0.3103448275862069,10
LR10_phi0.325_seed3,20,512,8.47872,0.6100780295655395,0.46701033061941843,0.30634803893173723,0.8556753138068517,0.3333333333333333,10
LR20_phi0.325_seed1,83,1024,8.47872,0.6346711970557968,0.5149870001399734,0.2324023652699838,0.7303984075520427,0.3722627737226277,20
LR20_phi0.325_seed2,77,1024,8.47872,0.5737160407221519,0.46664899857340236,0.2294380626039385,1.227717867166407,0.36363636363636365,20
LR20_phi0.325_seed3,69,1024,8.47872,0.7392527970062804,0.6146964361829991,0.20263068645187343,0.8415138483190576,0.3620689655172414,20
LR40_phi0.325_seed1,312,1024,4.23936,0.62250048150407,0.4947552639914363,0.2581988041563208,0.9127735152388496,0.37401574803149606,40
LR40_phi0.325_seed2,303,1024,4.23936,0.6781281290688151,0.5674579632622834,0.19502795444140975,0.8812860093154088,0.3736059479553903,40
LR40_phi0.325_seed3,272,1024,4.23936,0.6451388967321666,0.5371868055524975,0.2009581956664781,0.9163490612426014,0.37687366167023556,40
