time_s,x,y,kappa_1_per_m,d0_kappa,supersaturation,residual,v_n_m_per_s
0,0.000193334,3.71109e-05,3279.82,3.33424e-06,1.91626e-15,-3.33424e-06,-4.62859e-12
0,9.56191e-05,5.83569e-05,-4915.66,-4.99724e-06,1.91626e-15,4.99724e-06,6.93716e-12
0,0.000193423,3.75364e-05,3279.43,3.33386e-06,1.91626e-15,-3.33386e-06,-4.62805e-12
0,9.56785e-05,5.86407e-05,-4916.82,-4.99841e-06,1.91626e-15,4.99841e-06,6.93879e-12
0,0.000193513,3.79621e-05,3278.27,3.33267e-06,1.91626e-15,-3.33267e-06,-4.62641e-12
0,9.57371e-05,5.89249e-05,-4917.42,-4.99902e-06,1.91626e-15,4.99902e-06,6.93963e-12
0,0.000193604,3.83877e-05,3276.36,3.33073e-06,1.91626e-15,-3.33073e-06,-4.62371e-12
0,9.57953e-05,5.92093e-05,-4917.47,-4.99907e-06,1.91626e-15,4.99907e-06,6.9397e-12
0,0.000193636,3.85375e-05,3275.59,3.32995e-06,1.91626e-15,-3.32995e-06,-4.62263e-12
0,0.000193696,3.88133e-05,3277.18,3.33156e-06,1.91626e-15,-3.33156e-06,-4.62487e-12
0,9.58533e-05,5.9494e-05,-4916.99,-4.99858e-06,1.91626e-15,4.99858e-06,6.93902e-12
0,0.000193785,3.92399e-05,3279.02,3.33343e-06,1.91626e-15,-3.33343e-06,-4.62746e-12
0,9.59113e-05,5.97788e-05,-4915.99,-4.99756e-06,1.91626e-15,4.99756e-06,6.93761e-12
0,0.000193872,3.96672e-05,3280.03,3.33446e-06,1.91626e-15,-3.33446e-06,-4.6289e-12
0,9.59698e-05,6.00637e-05,-4914.48,-4.99603e-06,1.91626e-15,4.99603e-06,6.93548e-12
0,0.000193958,4.0095e-05,3280.28,3.33471e-06,1.91626e-15,-3.33471e-06,-4.62925e-12
0,9.60289e-05,6.03487e-05,-4912.47,-4.99399e-06,1.91626e-15,4.99399e-06,6.93265e-12
0,0.000194043,4.05231e-05,3279.79,3.33421e-06,1.91626e-15,-3.33421e-06,-4.62855e-12
0,9.60606e-05,6.05004e-05,-4911.26,-4.99276e-06,1.91626e-15,4.99276e-06,6.93095e-12
0,9.60885e-05,6.06337e-05,-4912.47,-4.99399e-06,1.91626e-15,4.99399e-06,6.93266e-12
0,0.000194129,4.09514e-05,3278.59,3.333e-06,1.91626e-15,-3.333e-06,-4.62686e-12
0,9.61469e-05,6.09192e-05,-4914.77,-4.99633e-06,1.91626e-15,4.99633e-06,6.9359e-12
0,0.000194216,4.13797e-05,3276.72,3.33109e-06,1.91626e-15,-3.33109e-06,-4.62422e-12
0,9.62039e-05,6.12051e-05,-4916.54,-4.99813e-06,1.91626e-15,4.99813e-06,6.93839e-12
0,0.000194242,4.15077e-05,3276.1,3.33046e-06,1.91626e-15,-3.33046e-06,-4.62334e-12
0,0.000194304,4.18081e-05,3277.72,3.33211e-06,1.91626e-15,-3.33211e-06,-4.62564e-12
0,9.62598e-05,6.14915e-05,-4917.8,-4.99941e-06,1.91626e-15,4.99941e-06,6.94018e-12
0,0.000194389,4.22373e-05,3279.45,3.33387e-06,1.91626e-15,-3.33387e-06,-4.62808e-12
0,9.63148e-05,6.17781e-05,-4918.58,-5.0002e-06,1.91626e-15,5.0002e-06,6.94128e-12
0,0.000194472,4.26672e-05,3280.45,3.33489e-06,1.91626e-15,-3.33489e-06,-4.62948e-12
0,9.63693e-05,6.2065e-05,-4918.89,-5.00052e-06,1.91626e-15,5.00052e-06,6.94171e-12
0,0.000194554,4.30975e-05,3280.75,3.33519e-06,1.91626e-15,-3.33519e-06,-4.62991e-12
0,9.64234e-05,6.23522e-05,-4918.74,-5.00036e-06,1.91626e-15,5.00036e-06,6.9415e-12
0,0.000194635,4.35283e-05,3280.39,3.33482e-06,1.91626e-15,-3.33482e-06,-4.6294e-12
0,9.64773e-05,6.26395e-05,-4918.14,-4.99975e-06,1.91626e-15,4.99975e-06,6.94065e-12
0,0.000194717,4.39592e-05,3279.38,3.3338e-06,1.91626e-15,-3.3338e-06,-4.62798e-12
0,9.65314e-05,6.2927e-05,-4917.1,-4.9987e-06,1.91626e-15,4.9987e-06,6.93919e-12
0,0.000194799,4.43901e-05,3277.76,3.33216e-06,1.91626e-15,-3.33216e-06,-4.6257e-12
0,9.65858e-05,6.32146e-05,-4915.64,-4.99721e-06,1.91626e-15,4.99721e-06,6.93712e-12
0,0.000194848,4.46436e-05,3276.6,3.33098e-06,1.91626e-15,-3.33098e-06,-4.62406e-12
0,0.000194883,4.48211e-05,3277.52,3.3319e-06,1.91626e-15,-3.3319e-06,-4.62535e-12
0,9.66406e-05,6.35023e-05,-4913.75,-4.99529e-06,1.91626e-15,4.99529e-06,6.93446e-12
0,0.000194965,4.52527e-05,3279.38,3.3338e-06,1.91626e-15,-3.3338e-06,-4.62798e-12
0,9.66667e-05,6.36379e-05,-4912.77,-4.99429e-06,1.91626e-15,4.99429e-06,6.93307e-12
0,9.66959e-05,6.37901e-05,-4914.01,-4.99556e-06,1.91626e-15,4.99556e-06,6.93483e-12
0,0.000195044,4.5685e-05,3280.58,3.33502e-06,1.91626e-15,-3.33502e-06,-4.62966e-12
0,9.67499e-05,6.40782e-05,-4916.09,-4.99767e-06,1.91626e-15,4.99767e-06,6.93776e-12
