1.000000e-03 1.000000e-03 2.629418e-04
5.000000e-04 5.000000e-04 1.314709e-04 7.151985e-05
3.687058e-04 4.744523e-04 1.314709e-04 6.223687e-05
2.773231e-04 3.375330e-04 1.314709e-04 1.023769e-04
1.431373e-04 2.685204e-04 1.314709e-04 4.851566e-05
3.117755e-05 4.077061e-04 1.314709e-04 1.301115e-04
1.478529e-04 5.560029e-04 1.314709e-04 5.858160e-05
2.805095e-04 6.314919e-04 1.314709e-04 9.404987e-05
3.887549e-04 7.996179e-04 1.314709e-04 1.059086e-04
5.292058e-04 9.289956e-04 1.314709e-04 8.504965e-05
6.830552e-04 7.984003e-04 1.314709e-04 1.167541e-04
9.089800e-04 9.012285e-04 1.314709e-04 1.314709e-04
9.380563e-04 6.479371e-04 1.314709e-04 1.234839e-04
9.003726e-04 4.760902e-04 1.314709e-04 5.244619e-05
7.457124e-04 4.880889e-04 1.314709e-04 1.026787e-04
8.415338e-04 2.959278e-04 1.314709e-04 1.120481e-04
9.751267e-04 1.033898e-04 1.314709e-04 1.222976e-04
7.692221e-04 7.611593e-05 1.314709e-04 8.540551e-05
5.811479e-04 2.688406e-05 1.314709e-04 1.090056e-04
3.445275e-04 4.865293e-05 1.314709e-04 1.286140e-04
1.708563e-04 1.368126e-04 1.314709e-04 6.615197e-05
5.494571e-05 5.203272e-05 1.314709e-04 7.745476e-05
4.954611e-04 2.201909e-04 1.314709e-04 9.987275e-05
2.063786e-05 2.005755e-04 1.314709e-04 7.499844e-05
5.917912e-04 3.460802e-04 1.314709e-04 5.864416e-05
6.448704e-04 2.073232e-04 1.314709e-04 5.008965e-05
5.377110e-04 6.826183e-04 1.314709e-04 6.906948e-05
1.711872e-04 4.102907e-06 1.314709e-04 4.828045e-05
6.093283e-04 5.473280e-04 1.314709e-04 4.601527e-05
2.364676e-04 8.125962e-04 1.314709e-04 4.693065e-05
1.118740e-04 8.410043e-04 1.314709e-04 8.086053e-05
5.671241e-05 9.935141e-04 1.314709e-04 8.131851e-05
2.485562e-04 9.894885e-04 1.314709e-04 1.105676e-04
5.753152e-05 6.903389e-04 1.314709e-04 7.930550e-05
4.236053e-04 3.602994e-04 1.314709e-04 4.566632e-05
7.169328e-04 9.720454e-04 1.314709e-04 6.016481e-05
