1.000000e-03 1.000000e-03 2.659571e-04
5.000000e-04 5.000000e-04 1.329786e-04 6.509620e-05
3.420286e-04 4.768452e-04 1.329786e-04 9.456313e-05
3.759557e-04 6.755177e-04 1.329786e-04 1.069854e-04
4.576280e-04 8.111390e-04 1.329786e-04 5.132924e-05
5.947025e-04 7.578719e-04 1.329786e-04 9.573132e-05
5.398077e-04 9.537515e-04 1.329786e-04 1.076950e-04
3.720760e-04 9.920592e-04 1.329786e-04 6.435559e-05
3.230692e-04 8.683578e-04 1.329786e-04 6.869965e-05
1.922971e-04 7.918487e-04 1.329786e-04 8.280932e-05
1.377775e-04 5.835728e-04 1.329786e-04 1.324841e-04
1.120478e-04 3.466718e-04 1.329786e-04 1.058100e-04
7.614195e-05 1.374867e-04 1.329786e-04 1.064343e-04
2.643365e-04 9.731106e-05 1.329786e-04 8.600084e-05
4.397457e-04 2.283972e-04 1.329786e-04 1.329786e-04
6.223631e-04 1.106083e-04 1.329786e-04 8.433070e-05
7.985414e-04 3.207267e-05 1.329786e-04 1.085596e-04
7.803005e-04 2.008282e-04 1.329786e-04 6.117898e-05
7.672872e-04 3.063867e-04 1.329786e-04 4.517860e-05
6.984293e-04 4.145376e-04 1.329786e-04 8.303229e-05
8.442454e-04 3.883957e-04 1.329786e-04 6.510866e-05
9.602081e-04 5.109528e-04 1.329786e-04 1.036148e-04
9.984567e-04 7.143994e-04 1.329786e-04 1.033960e-04
8.261857e-04 8.425867e-04 1.329786e-04 1.113347e-04
7.601994e-04 6.870977e-04 1.329786e-04 5.757651e-05
7.369027e-04 5.751532e-04 1.329786e-04 5.676646e-05
6.351386e-04 5.743984e-04 1.329786e-04 4.500040e-05
9.883629e-04 2.928494e-04 1.329786e-04 1.078044e-04
7.214806e-04 9.720774e-04 1.329786e-04 5.519148e-05
8.426821e-04 6.204454e-04 1.329786e-04 4.847032e-05
9.968813e-04 9.103717e-04 1.329786e-04 7.232741e-05
9.398565e-04 1.202990e-04 1.329786e-04 5.803531e-05
9.817563e-04 1.242510e-05 1.329786e-04 5.769007e-05
6.140983e-04 3.080614e-04 1.329786e-04 5.279443e-05
8.700230e-04 9.935890e-04 1.329786e-04 4.590202e-05
4.529019e-04 2.281406e-05 1.329786e-04 7.302512e-05
