t_days,step,eps,phi_bar,k_arithmetic,k_tensor,k_sharp
0.0,0,1e-06,0.6753405837671769,0.6265536606337869,0.4524650005643843,0.4495370656743274
0.0,0,1.5e-06,0.6736944898447486,0.6839128074732017,0.44147463973264256,0.4495370656743274
0.0,0,2e-06,0.6715594243013572,0.7392061332950028,0.43562697398026906,0.4495370656743274
0.0,0,3e-06,0.6650491692350057,0.860568167189266,0.4461681669925396,0.4495370656743274
1.1728379629629628,554,1e-06,0.675340444505835,0.6465604680260224,0.5710727721121791,0.5717695825571827
1.1728379629629628,554,1.5e-06,0.674649273650047,0.6936524106320214,0.5667687495493006,0.5717695825571827
1.1728379629629628,554,2e-06,0.6733716141493999,0.7452355840982997,0.5624982274613565,0.5717695825571827
1.1728379629629628,554,3e-06,0.6680321645335212,0.8653520836802628,0.5683883275804448,0.5717695825571827
30.011770833333333,6646,1e-06,0.6753110265228853,0.737990336025689,0.6996713620722552,0.7059134071717676
30.011770833333333,6646,1.5e-06,0.6747443332790523,0.7589332592499454,0.6944704477578816,0.7059134071717676
30.011770833333333,6646,2e-06,0.6737042290580104,0.7888404609672793,0.6923485782460164,0.7059134071717676
30.011770833333333,6646,3e-06,0.6690019671247296,0.8829490506328925,0.7111315001503207,0.7059134071717676
