alpha_c,T_C,beta_sub_s_per_m,eps_m,binding,Nx,nodes_2D,f_kin,Lstar_m
4.961948e-04,-5.0,3.985394e+06,3.520229e-08,B-KINETIC,1.807900e+04,1.634342e+08,0.9997,3.024734e-04
5.612597e-04,-40.0,1.185969e+08,1.360540e-09,B-KINETIC,4.677530e+05,1.093967e+11,1.0000,2.226399e-04
5.612597e-04,-20.0,1.414845e+07,1.050348e-08,B-KINETIC,6.059000e+04,1.835574e+09,0.9999,2.479852e-04
5.612597e-04,-5.0,3.523381e+06,3.981829e-08,B-KINETIC,1.598300e+04,1.277361e+08,0.9996,2.674087e-04
6.348565e-04,-40.0,1.048483e+08,1.538945e-09,B-KINETIC,4.135280e+05,8.550270e+10,1.0000,1.968300e-04
6.348565e-04,-20.0,1.250827e+07,1.188078e-08,B-KINETIC,5.356600e+04,1.434658e+09,0.9999,2.192371e-04
6.348565e-04,-5.0,3.114927e+06,4.503958e-08,B-KINETIC,1.413000e+04,9.982845e+07,0.9995,2.364089e-04
7.181039e-04,-40.0,9.269361e+07,1.740743e-09,B-KINETIC,3.655890e+05,6.682784e+10,1.0000,1.740122e-04
7.181039e-04,-20.0,1.105822e+07,1.343868e-08,B-KINETIC,4.735600e+04,1.121295e+09,0.9998,1.938217e-04
7.181039e-04,-5.0,2.753824e+06,5.094552e-08,B-KINETIC,1.249200e+04,7.802503e+07,0.9993,2.090028e-04
8.122674e-04,-40.0,8.194795e+07,1.969003e-09,B-KINETIC,3.232080e+05,5.223171e+10,1.0000,1.538395e-04
8.122674e-04,-20.0,9.776281e+06,1.520087e-08,B-KINETIC,4.186600e+04,8.763810e+08,0.9998,1.713526e-04
8.122674e-04,-5.0,2.434582e+06,5.762590e-08,B-KINETIC,1.104400e+04,6.098497e+07,0.9991,1.847738e-04
9.187782e-04,-40.0,7.244800e+07,2.227195e-09,B-KINETIC,2.857390e+05,4.082353e+10,1.0000,1.360054e-04
9.187782e-04,-20.0,8.642949e+06,1.719412e-08,B-KINETIC,3.701300e+04,6.849996e+08,0.9997,1.514882e-04
9.187782e-04,-5.0,2.152349e+06,6.518226e-08,B-KINETIC,9.764000e+03,4.766785e+07,0.9989,1.633536e-04
1.039256e-03,-40.0,6.404934e+07,2.519242e-09,B-KINETIC,2.526150e+05,3.190730e+10,0.9999,1.202388e-04
1.039256e-03,-20.0,7.641001e+06,1.944875e-08,B-KINETIC,3.272200e+04,5.353646e+08,0.9996,1.339267e-04
1.039256e-03,-5.0,1.902835e+06,7.372947e-08,B-KINETIC,8.632000e+03,3.725571e+07,0.9985,1.444166e-04
1.175531e-03,-40.0,5.662432e+07,2.849585e-09,B-KINETIC,2.233300e+05,2.493814e+10,0.9999,1.062999e-04
1.175531e-03,-20.0,6.755205e+06,2.199903e-08,B-KINETIC,2.892900e+04,4.184580e+08,0.9995,1.184010e-04
1.175531e-03,-5.0,1.682245e+06,8.339746e-08,B-KINETIC,7.631000e+03,2.911990e+07,0.9981,1.276748e-04
1.329676e-03,-40.0,5.006005e+07,3.223245e-09,B-KINETIC,1.974400e+05,1.949128e+10,0.9999,9.397689e-05
1.329676e-03,-20.0,5.972097e+06,2.488371e-08,B-KINETIC,2.557500e+04,3.270531e+08,0.9994,1.046752e-04
1.329676e-03,-5.0,1.487228e+06,9.433319e-08,B-KINETIC,6.747000e+03,2.276438e+07,0.9976,1.128739e-04
1.504034e-03,-40.0,4.425675e+07,3.645902e-09,B-KINETIC,1.745520e+05,1.523420e+10,0.9999,8.308246e-05
1.504034e-03,-20.0,5.279772e+06,2.814666e-08,B-KINETIC,2.261100e+04,2.556400e+08,0.9992,9.254055e-05
1.504034e-03,-5.0,1.314819e+06,1.067029e-07,B-KINETIC,5.965000e+03,1.779360e+07,0.9970,9.978882e-05
1.701254e-03,-40.0,3.912622e+07,4.123981e-09,B-KINETIC,1.543160e+05,1.190671e+10,0.9999,7.345099e-05
1.701254e-03,-20.0,4.667705e+06,3.183747e-08,B-KINETIC,1.998900e+04,1.997901e+08,0.9990,8.181263e-05
1.701254e-03,-5.0,1.162396e+06,1.206946e-07,B-KINETIC,5.273000e+03,1.390490e+07,0.9961,8.822064e-05
1.924336e-03,-40.0,3.459044e+07,4.664750e-09,B-KINETIC,1.364270e+05,9.306231e+09,0.9998,6.493606e-05
1.924336e-03,-20.0,4.126594e+06,3.601225e-08,B-KINETIC,1.767200e+04,1.561498e+08,0.9987,7.232836e-05
1.924336e-03,-5.0,1.027644e+06,1.365211e-07,B-KINETIC,4.662000e+03,1.086712e+07,0.9950,7.799351e-05
2.176670e-03,-40.0,3.058049e+07,5.276429e-09,B-KINETIC,1.206120e+05,7.273627e+09,0.9998,5.740824e-05
2.176670e-03,-20.0,3.648212e+06,4.073446e-08,B-KINETIC,1.562400e+04,1.220547e+08,0.9983,6.394358e-05
2.176670e-03,-5.0,9.085123e+05,1.544228e-07,B-KINETIC,4.122000e+03,8.495442e+06,0.9936,6.895198e-05
2.462092e-03,-40.0,2.703540e+07,5.968316e-09,B-KINETIC,1.066300e+05,5.684978e+09,0.9997,5.075310e-05
2.462092e-03,-20.0,3.225287e+06,4.607589e-08,B-KINETIC,1.381200e+04,9.538567e+07,0.9978,5.653081e-05
2.462092e-03,-5.0,8.031915e+05,1.746719e-07,B-KINETIC,3.644000e+03,6.639368e+06,0.9919,6.095861e-05
2.784941e-03,-40.0,2.390127e+07,6.750929e-09,B-KINETIC,9.426800e+04,4.443228e+09,0.9996,4.486946e-05
