alpha_c,T_C,beta_sub_s_per_m,eps_m,binding,Nx,nodes_2D,f_kin,Lstar_m
4.353073e-01,-20.0,1.824218e+04,6.792078e-08,B-HEAT,9.370000e+03,4.389845e+07,0.6397,3.197375e-07
4.353073e-01,-5.0,4.542840e+03,6.599374e-08,B-HEAT,9.644000e+03,4.650337e+07,0.6466,3.447811e-07
4.923883e-01,-40.0,1.351853e+05,6.256943e-08,B-HEAT,1.017200e+04,5.173479e+07,0.6289,2.537811e-07
4.923883e-01,-20.0,1.612742e+04,6.004695e-08,B-HEAT,1.059900e+04,5.617470e+07,0.6397,2.826714e-07
4.923883e-01,-5.0,4.016204e+03,5.834331e-08,B-HEAT,1.090800e+04,5.949223e+07,0.6466,3.048118e-07
5.569541e-01,-40.0,1.195137e+05,5.531597e-08,B-HEAT,1.150500e+04,6.618826e+07,0.6289,2.243611e-07
5.569541e-01,-20.0,1.425782e+04,5.308591e-08,B-HEAT,1.198900e+04,7.187406e+07,0.6397,2.499023e-07
5.569541e-01,-5.0,3.550619e+03,5.157976e-08,B-HEAT,1.233900e+04,7.613163e+07,0.6466,2.694760e-07
6.299863e-01,-40.0,1.056589e+05,4.890337e-08,B-HEAT,1.301400e+04,8.468210e+07,0.6289,1.983516e-07
6.299863e-01,-20.0,1.260496e+04,4.693184e-08,B-HEAT,1.356100e+04,9.195714e+07,0.6397,2.209319e-07
6.299863e-01,-5.0,3.139007e+03,4.560029e-08,B-HEAT,1.395600e+04,9.738497e+07,0.6466,2.382365e-07
7.125951e-01,-40.0,9.341019e+04,4.323417e-08,B-HEAT,1.472000e+04,1.083392e+08,0.6289,1.753574e-07
7.125951e-01,-20.0,1.114371e+04,4.149119e-08,B-HEAT,1.533900e+04,1.176501e+08,0.6397,1.953200e-07
7.125951e-01,-5.0,2.775113e+03,4.031400e-08,B-HEAT,1.578600e+04,1.245989e+08,0.6466,2.106185e-07
8.060361e-01,-40.0,8.258146e+04,3.822218e-08,B-HEAT,1.665000e+04,1.386112e+08,0.6289,1.550288e-07
8.060361e-01,-20.0,9.851858e+03,3.668125e-08,B-HEAT,1.735000e+04,1.505112e+08,0.6397,1.726772e-07
8.060361e-01,-5.0,2.453403e+03,3.564054e-08,B-HEAT,1.785600e+04,1.594184e+08,0.6466,1.862022e-07
9.117299e-01,-40.0,7.300807e+04,3.379121e-08,B-HEAT,1.883400e+04,1.773598e+08,0.6289,1.370568e-07
9.117299e-01,-20.0,8.709765e+03,3.242892e-08,B-HEAT,1.962500e+04,1.925801e+08,0.6397,1.526593e-07
9.117299e-01,-5.0,2.168988e+03,3.150885e-08,B-HEAT,2.019800e+04,2.039796e+08,0.6466,1.646164e-07
