T_C,alpha_c,beta_sub_s_per_m,eps_m,binding,Nx,nodes_2D,f_kin
-32.180,1.000e-01,2.781158e+05,3.030446e-07,B-HEAT,2.101000e+03,2.208151e+06,0.6334
-32.180,1.000e-02,2.781158e+06,5.613479e-08,B-KINETIC,1.133700e+04,6.426945e+07,0.9894
-32.180,1.000e-03,2.781158e+07,5.613479e-09,B-KINETIC,1.133700e+05,6.426378e+09,0.9999
-31.692,1.000e-01,2.638409e+05,3.027378e-07,B-HEAT,2.103000e+03,2.212356e+06,0.6336
-31.692,1.000e-02,2.638409e+06,5.905216e-08,B-KINETIC,1.077700e+04,5.807725e+07,0.9888
-31.692,1.000e-03,2.638409e+07,5.905216e-09,B-KINETIC,1.077690e+05,5.807133e+09,0.9999
-31.203,1.000e-01,2.503512e+05,3.024318e-07,B-HEAT,2.105000e+03,2.216565e+06,0.6339
-31.203,1.000e-02,2.503512e+06,6.210835e-08,B-KINETIC,1.024700e+04,5.250563e+07,0.9883
-31.203,1.000e-03,2.503512e+07,6.210835e-09,B-KINETIC,1.024660e+05,5.249641e+09,0.9999
-30.714,1.000e-01,2.376009e+05,3.021269e-07,B-HEAT,2.107000e+03,2.220778e+06,0.6342
-30.714,1.000e-02,2.376009e+06,6.530934e-08,B-KINETIC,9.745000e+03,4.748738e+07,0.9877
-30.714,1.000e-03,2.376009e+07,6.530934e-09,B-KINETIC,9.744400e+04,4.747667e+09,0.9999
-30.226,1.000e-01,2.255467e+05,3.018228e-07,B-HEAT,2.109000e+03,2.224995e+06,0.6344
-30.226,1.000e-02,2.255467e+06,6.866134e-08,B-KINETIC,9.269000e+03,4.296182e+07,0.9871
-30.226,1.000e-03,2.255467e+07,6.866134e-09,B-KINETIC,9.268700e+04,4.295486e+09,0.9999
-29.737,1.000e-01,2.141482e+05,3.015196e-07,B-HEAT,2.111000e+03,2.229216e+06,0.6347
-29.737,1.000e-02,2.141482e+06,7.217078e-08,B-KINETIC,8.818000e+03,3.887856e+07,0.9864
-29.737,1.000e-03,2.141482e+07,7.217078e-09,B-KINETIC,8.818000e+04,3.887856e+09,0.9999
-29.248,1.000e-01,2.033675e+05,3.012174e-07,B-HEAT,2.113000e+03,2.233441e+06,0.6350
-29.248,1.000e-02,2.033675e+06,7.584435e-08,B-KINETIC,8.391000e+03,3.520864e+07,0.9857
-29.248,1.000e-03,2.033675e+07,7.584435e-09,B-KINETIC,8.390900e+04,3.520402e+09,0.9999
-28.759,1.000e-01,1.931689e+05,3.009161e-07,B-HEAT,2.115000e+03,2.237670e+06,0.6352
-28.759,1.000e-02,1.931689e+06,7.968900e-08,B-KINETIC,7.986000e+03,3.188810e+07,0.9850
-28.759,1.000e-03,1.931689e+07,7.968900e-09,B-KINETIC,7.986000e+04,3.188810e+09,0.9998
-28.271,1.000e-01,1.835188e+05,3.006156e-07,B-HEAT,2.117000e+03,2.241903e+06,0.6355
-28.271,1.000e-02,1.835188e+06,8.371191e-08,B-KINETIC,7.603000e+03,2.890661e+07,0.9843
-28.271,1.000e-03,1.835188e+07,8.371191e-09,B-KINETIC,7.602300e+04,2.889786e+09,0.9998
-27.782,1.000e-01,1.743860e+05,3.003161e-07,B-HEAT,2.120000e+03,2.247200e+06,0.6358
-27.782,1.000e-02,1.743860e+06,8.792056e-08,B-KINETIC,7.239000e+03,2.620518e+07,0.9835
-27.782,1.000e-03,1.743860e+07,8.792056e-09,B-KINETIC,7.238400e+04,2.619722e+09,0.9998
-27.293,1.000e-01,1.657408e+05,3.000175e-07,B-HEAT,2.122000e+03,2.251442e+06,0.6360
-27.293,1.000e-02,1.657408e+06,9.232270e-08,B-KINETIC,6.894000e+03,2.376362e+07,0.9827
-27.293,1.000e-03,1.657408e+07,9.232270e-09,B-KINETIC,6.893200e+04,2.375810e+09,0.9998
-26.805,1.000e-01,1.575555e+05,2.997197e-07,B-HEAT,2.124000e+03,2.255688e+06,0.6363
-26.805,1.000e-02,1.575555e+06,9.692635e-08,B-KINETIC,6.566000e+03,2.155618e+07,0.9818
-26.805,1.000e-03,1.575555e+07,9.692635e-09,B-KINETIC,6.565800e+04,2.155486e+09,0.9998
-26.316,1.000e-01,1.498040e+05,2.994229e-07,B-HEAT,2.126000e+03,2.259938e+06,0.6365
-26.316,1.000e-02,1.498040e+06,1.017399e-07,B-KINETIC,6.256000e+03,1.956877e+07,0.9810
-26.316,1.000e-03,1.498040e+07,1.017399e-08,B-KINETIC,6.255200e+04,1.956376e+09,0.9998
-25.827,1.000e-01,1.424619e+05,2.991269e-07,B-HEAT,2.128000e+03,2.264192e+06,0.6368
-25.827,1.000e-02,1.424619e+06,1.067718e-07,B-KINETIC,5.961000e+03,1.776974e+07,0.9800
-25.827,1.000e-03,1.424619e+07,1.067718e-08,B-KINETIC,5.960400e+04,1.776318e+09,0.9998
-25.338,1.000e-01,1.355061e+05,2.988318e-07,B-HEAT,2.130000e+03,2.268450e+06,0.6370
-25.338,1.000e-02,1.355061e+06,1.120313e-07,B-KINETIC,5.681000e+03,1.613972e+07,0.9791
-25.338,1.000e-03,1.355061e+07,1.120313e-08,B-KINETIC,5.680600e+04,1.613461e+09,0.9998
-24.850,1.000e-01,1.289150e+05,2.985375e-07,B-HEAT,2.132000e+03,2.272712e+06,0.6373
-24.850,1.000e-02,1.289150e+06,1.175274e-07,B-KINETIC,5.415000e+03,1.466382e+07,0.9781
-24.850,1.000e-03,1.289150e+07,1.175274e-08,B-KINETIC,5.414900e+04,1.466084e+09,0.9998
-24.361,1.000e-01,1.226681e+05,2.982442e-07,B-HEAT,2.134000e+03,2.276978e+06,0.6375
-24.361,1.000e-02,1.226681e+06,1.232699e-07,B-KINETIC,5.163000e+03,1.333087e+07,0.9770
-24.361,1.000e-03,1.226681e+07,1.232699e-08,B-KINETIC,5.162700e+04,1.332699e+09,0.9998
-23.872,1.000e-01,1.167463e+05,2.979517e-07,B-HEAT,2.136000e+03,2.281248e+06,0.6378
-23.872,1.000e-02,1.167463e+06,1.292687e-07,B-KINETIC,4.924000e+03,1.212289e+07,0.9760
-23.872,1.000e-03,1.167463e+07,1.292687e-08,B-KINETIC,4.923100e+04,1.211870e+09,0.9998
-23.383,1.000e-01,1.111315e+05,2.976600e-07,B-HEAT,2.138000e+03,2.285522e+06,0.6380
-23.383,1.000e-02,1.111315e+06,1.355340e-07,B-KINETIC,4.696000e+03,1.102621e+07,0.9748
-23.383,1.000e-03,1.111315e+07,1.355340e-08,B-KINETIC,4.695500e+04,1.102409e+09,0.9997
-22.895,1.000e-01,1.058069e+05,2.973692e-07,B-HEAT,2.141000e+03,2.293011e+06,0.6383
-22.895,1.000e-02,1.058069e+06,1.420767e-07,B-KINETIC,4.480000e+03,1.003520e+07,0.9736
-22.895,1.000e-03,1.058069e+07,1.420767e-08,B-KINETIC,4.479300e+04,1.003229e+09,0.9997
-22.406,1.000e-01,1.007563e+05,2.970793e-07,B-HEAT,2.143000e+03,2.297296e+06,0.6385
-22.406,1.000e-02,1.007563e+06,1.489078e-07,B-KINETIC,4.274000e+03,9.133538e+06,0.9724
-22.406,1.000e-03,1.007563e+07,1.489078e-08,B-KINETIC,4.273800e+04,9.132683e+08,0.9997
-21.917,1.000e-01,9.596471e+04,2.967902e-07,B-HEAT,2.145000e+03,2.301585e+06,0.6388
-21.917,1.000e-02,9.596471e+05,1.560387e-07,B-KINETIC,4.079000e+03,8.321160e+06,0.9711
-21.917,1.000e-03,9.596471e+06,1.560387e-08,B-KINETIC,4.078500e+04,8.317285e+08,0.9997
-21.429,1.000e-01,9.141803e+04,2.965019e-07,B-HEAT,2.147000e+03,2.305878e+06,0.6390
-21.429,1.000e-02,9.141803e+05,1.634812e-07,B-KINETIC,3.893000e+03,7.579671e+06,0.9698
-21.429,1.000e-03,9.141803e+06,1.634812e-08,B-KINETIC,3.892800e+04,7.576946e+08,0.9997
-20.940,1.000e-01,8.710286e+04,2.962145e-07,B-HEAT,2.149000e+03,2.310175e+06,0.6393
-20.940,1.000e-02,8.710286e+05,1.712478e-07,B-KINETIC,3.717000e+03,6.909903e+06,0.9684
-20.940,1.000e-03,8.710286e+06,1.712478e-08,B-KINETIC,3.716300e+04,6.905629e+08,0.9997
-20.451,1.000e-01,8.300662e+04,2.959279e-07,B-HEAT,2.151000e+03,2.314476e+06,0.6395
-20.451,1.000e-02,8.300662e+05,1.793510e-07,B-KINETIC,3.549000e+03,6.299475e+06,0.9670
-20.451,1.000e-03,8.300662e+06,1.793510e-08,B-KINETIC,3.548400e+04,6.295571e+08,0.9997
-19.962,1.000e-01,7.911747e+04,2.956422e-07,B-HEAT,2.153000e+03,2.318781e+06,0.6397
-19.962,1.000e-02,7.911747e+05,1.878041e-07,B-KINETIC,3.389000e+03,5.744355e+06,0.9655
-19.962,1.000e-03,7.911747e+06,1.878041e-08,B-KINETIC,3.388700e+04,5.741813e+08,0.9996
-19.474,1.000e-01,7.542422e+04,2.953573e-07,B-HEAT,2.155000e+03,2.323090e+06,0.6400
-19.474,1.000e-02,7.542422e+05,1.966207e-07,B-KINETIC,3.237000e+03,5.240703e+06,0.9639
-19.474,1.000e-03,7.542422e+06,1.966207e-08,B-KINETIC,3.236700e+04,5.238275e+08,0.9996
-18.985,1.000e-01,7.191634e+04,2.950732e-07,B-HEAT,2.157000e+03,2.327403e+06,0.6402
-18.985,1.000e-02,7.191634e+05,2.058148e-07,B-KINETIC,3.093000e+03,4.784871e+06,0.9623
-18.985,1.000e-03,7.191634e+06,2.058148e-08,B-KINETIC,3.092100e+04,4.780696e+08,0.9996
-18.496,1.000e-01,6.858390e+04,2.947899e-07,B-HEAT,2.159000e+03,2.331720e+06,0.6405
-18.496,1.000e-02,6.858390e+05,2.154010e-07,B-KINETIC,2.955000e+03,4.367490e+06,0.9606
-18.496,1.000e-03,6.858390e+06,2.154010e-08,B-KINETIC,2.954500e+04,4.364683e+08,0.9996
-18.008,1.000e-01,6.541753e+04,2.945074e-07,B-HEAT,2.161000e+03,2.336041e+06,0.6407
-18.008,1.000e-02,6.541753e+05,2.253943e-07,B-KINETIC,2.824000e+03,3.987488e+06,0.9588
-18.008,1.000e-03,6.541753e+06,2.253943e-08,B-KINETIC,2.823500e+04,3.986217e+08,0.9996
-17.519,1.000e-01,6.240840e+04,2.942258e-07,B-HEAT,2.163000e+03,2.340366e+06,0.6409
-17.519,1.000e-02,6.240840e+05,2.358105e-07,B-KINETIC,2.699000e+03,3.643650e+06,0.9570
-17.519,1.000e-03,6.240840e+06,2.358105e-08,B-KINETIC,2.698800e+04,3.641761e+08,0.9996
-17.030,1.000e-01,5.954815e+04,2.939449e-07,B-HEAT,2.166000e+03,2.345778e+06,0.6412
-17.030,1.000e-02,5.954815e+05,2.466654e-07,B-KINETIC,2.580000e+03,3.328200e+06,0.9551
-17.030,1.000e-03,5.954815e+06,2.466654e-08,B-KINETIC,2.580000e+04,3.328200e+08,0.9995
-16.541,1.000e-01,5.682893e+04,2.936649e-07,B-HEAT,2.168000e+03,2.350112e+06,0.6414
-16.541,1.000e-02,5.682893e+05,2.579759e-07,B-KINETIC,2.467000e+03,3.044278e+06,0.9532
-16.541,1.000e-03,5.682893e+06,2.579759e-08,B-KINETIC,2.466900e+04,3.042921e+08,0.9995
-16.053,1.000e-01,5.424331e+04,2.933856e-07,B-HEAT,2.170000e+03,2.354450e+06,0.6416
-16.053,1.000e-02,5.424331e+05,2.697591e-07,B-KINETIC,2.360000e+03,2.784800e+06,0.9512
-16.053,1.000e-03,5.424331e+06,2.697591e-08,B-KINETIC,2.359200e+04,2.782912e+08,0.9995
-15.564,1.000e-01,5.178427e+04,2.931072e-07,B-HEAT,2.172000e+03,2.358792e+06,0.6419
-15.564,1.000e-02,5.178427e+05,2.820329e-07,B-KINETIC,2.257000e+03,2.548153e+06,0.9490
-15.564,1.000e-03,5.178427e+06,2.820329e-08,B-KINETIC,2.256500e+04,2.546009e+08,0.9995
-15.075,1.000e-01,4.944519e+04,2.928295e-07,B-HEAT,2.174000e+03,2.363138e+06,0.6421
-15.075,1.000e-02,4.944519e+05,2.948155e-07,B-KINETIC,2.159000e+03,2.331720e+06,0.9469
-15.075,1.000e-03,4.944519e+06,2.948155e-08,B-KINETIC,2.158700e+04,2.330101e+08,0.9994
-14.586,1.000e-01,4.721982e+04,2.925526e-07,B-HEAT,2.176000e+03,2.367488e+06,0.6423
-14.586,1.000e-02,4.721982e+05,3.081260e-07,B-KINETIC,2.066000e+03,2.134178e+06,0.9446
-14.586,1.000e-03,4.721982e+06,3.081260e-08,B-KINETIC,2.065400e+04,2.132939e+08,0.9994
-14.098,1.000e-01,4.510224e+04,2.922765e-07,B-HEAT,2.178000e+03,2.371842e+06,0.6425
-14.098,1.000e-02,4.510224e+05,3.219841e-07,B-KINETIC,1.977000e+03,1.955253e+06,0.9423
-14.098,1.000e-03,4.510224e+06,3.219841e-08,B-KINETIC,1.976500e+04,1.953375e+08,0.9994
-13.609,1.000e-01,4.308689e+04,2.920012e-07,B-HEAT,2.180000e+03,2.376200e+06,0.6428
-13.609,1.000e-02,4.308689e+05,3.364100e-07,B-KINETIC,1.892000e+03,1.789832e+06,0.9398
-13.609,1.000e-03,4.308689e+06,3.364100e-08,B-KINETIC,1.891800e+04,1.789454e+08,0.9994
-13.120,1.000e-01,4.116847e+04,2.917267e-07,B-HEAT,2.182000e+03,2.380562e+06,0.6430
-13.120,1.000e-02,4.116847e+05,3.514247e-07,B-KINETIC,1.811000e+03,1.640766e+06,0.9373
-13.120,1.000e-03,4.116847e+06,3.514247e-08,B-KINETIC,1.811000e+04,1.639860e+08,0.9993
-12.632,1.000e-01,3.934201e+04,2.914529e-07,B-HEAT,2.184000e+03,2.384928e+06,0.6432
