# periodic 2D packing, generated 2026-08-03T18:13:56.555526+00:00
# porosity_achieved = 0.288099  (target 0.287500)
# 87 distinct grains; 100 rows including 13 periodic edge images.
# Centres span [-R, L+R]: a grain need only be PARTLY inside.
# Do NOT drop the out-of-box rows -- they carry the conduction
# paths that cross the domain edge, and k_eff depends on them.
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
2.000000000000e-03 2.000000000000e-03
8.587481450776e-04 8.709751163443e-04 5.907168568559e-05
2.036047554802e-05 1.452835923098e-03 9.964313364095e-05
2.020360475548e-03 1.452835923098e-03 9.964313364095e-05
9.031590152481e-04 3.746254288465e-04 3.855159494124e-05
5.772876640978e-04 1.696486189008e-03 1.225136711236e-04
-1.079195016022e-04 1.674332201210e-03 1.563186726987e-04
1.892080498398e-03 1.674332201210e-03 1.563186726987e-04
4.897761353942e-04 -6.199515535591e-05 7.037687186085e-05
4.897761353942e-04 1.938004844644e-03 7.037687186085e-05
2.553706300011e-04 1.174527359023e-03 1.094440061126e-04
1.387179032905e-03 1.222032496969e-03 1.000466393270e-04
2.474997027598e-04 7.369891947800e-04 7.245706345799e-05
1.254430508481e-03 3.436021044278e-04 5.733823927476e-05
1.927926565887e-03 6.369770121347e-04 3.194111247274e-05
1.568270614872e-03 5.883365291108e-04 1.786416650151e-04
1.196813904448e-03 1.536452262560e-03 8.617275560040e-05
1.091077939522e-03 1.270530596091e-03 2.000000000000e-04
1.458932932669e-03 2.960903064016e-04 1.333902857780e-04
1.455716237331e-03 1.411460178655e-03 1.013987181416e-04
1.118477307395e-03 1.809045287636e-03 6.352634214045e-05
2.770801526153e-04 1.742719218748e-03 1.770451506043e-04
3.443221262478e-04 -2.110846234438e-05 6.851314527956e-05
3.443221262478e-04 1.978891537656e-03 6.851314527956e-05
4.483948639120e-04 1.407981885589e-03 1.934743125759e-04
1.700205470706e-03 1.873918955008e-03 7.231196059337e-05
1.246590234669e-03 1.712573811594e-03 9.684842725842e-05
4.784159173914e-04 1.826991692526e-03 4.121634844235e-05
