law,R_um,eps_over_R,f,k,k_sharp,aniso,phi_bar,its,err_pct
arithmetic,125.0,0.01,0.049087385212340524,0.02223274391721,0.02202729014378651,0.0,0.0491035343147,64,0.9327237807390754
arithmetic,125.0,0.02,0.049087385212340524,0.02244858993624,0.02202729014378651,0.0,0.04915198162198,54,1.9126265178485147
arithmetic,125.0,0.04,0.049087385212340524,0.02291305459754,0.02202729014378651,0.0,0.04934577085113,46,4.021213903169785
arithmetic,175.0,0.01,0.09621127501618741,0.02462413232831,0.02417681498872724,0.0,0.09624292725827,55,1.8501913498172762
arithmetic,175.0,0.02,0.09621127501618741,0.02509915430708,0.02417681498872724,0.0,0.09633788397935,48,3.8149744653413364
arithmetic,175.0,0.04,0.09621127501618741,0.02613942884523,0.02417681498872724,0.0,0.09671771086863,47,8.11775189336501
arithmetic,250.0,0.01,0.1963495408493621,0.03073592301694,0.029568400343567378,6.506358120443905e-13,0.1964141372588,55,3.948548652638273
arithmetic,250.0,0.02,0.1963495408493621,0.03201165707912,0.029568400343567378,0.0,0.1966079264878,48,8.26306701466235
arithmetic,250.0,0.04,0.1963495408493621,0.03494530067736,0.029568400343567378,0.0,0.1973830834044,44,18.18461692657096
arithmetic,300.0,0.01,0.28274333882308134,0.03758286694752,0.03543027095262313,0.0,0.2828363576523,53,6.0755843436119505
arithmetic,300.0,0.02,0.28274333882308134,0.040019331110935,0.03543027095262313,2.4985290453288397e-13,0.2831154141427,47,12.952371051433097
arithmetic,300.0,0.04,0.28274333882308134,0.04600223724918,0.03543027095262313,0.0,0.2842316395509,42,29.838796069873563
arithmetic,350.0,0.01,0.38484510006474965,0.04877629120396,0.044583439767597766,4.099920624845922e-13,0.3849717090283,51,9.404504134760593
arithmetic,350.0,0.02,0.38484510006474965,0.05384894582405,0.044583439767597766,0.0,0.3853515359153,46,20.78239387707852
arithmetic,350.0,0.04,0.38484510006474965,0.06819049580308,0.044583439767597766,0.0,0.3868705753459,41,52.95027965213062
arithmetic,400.0,0.01,0.5026548245743669,0.070245467094655,0.06055884464895237,1.4224415659678493e-13,0.5028201913825,50,15.995388455400782
arithmetic,400.0,0.02,0.5026548245743669,0.083954876093705,0.06055884464895237,1.1901640126862884e-13,0.5033162725819,45,38.63354986439187
arithmetic,400.0,0.04,0.5026548245743669,0.1406614555619,0.06055884464895237,0.0,0.5052721649612,41,132.27235654393107
tensor,125.0,0.01,0.049087385212340524,0.02202906918957,0.02202729014378651,0.0,0.0491035343147,137,0.008076553093361305
tensor,125.0,0.02,0.049087385212340524,0.02203802848776,0.02202729014378651,0.0,0.04915198162198,129,0.048750181721834984
tensor,125.0,0.04,0.049087385212340524,0.02209083173633,0.02202729014378651,0.0,0.04934577085113,122,0.2884675878363385
tensor,175.0,0.01,0.09621127501618741,0.024180669950445,0.02417681498872724,4.135098876921855e-13,0.09624292725827,135,0.0159448699903475
tensor,175.0,0.02,0.09621127501618741,0.02420008800887,0.02417681498872724,0.0,0.09633788397935,133,0.09626172907228892
tensor,175.0,0.04,0.09621127501618741,0.02431470244997,0.02417681498872724,0.0,0.09671771086863,122,0.5703293064328374
tensor,250.0,0.01,0.1963495408493621,0.029578399611395,0.029568400343567378,3.3804892241966495e-13,0.1964141372588,135,0.0338174122084256
tensor,250.0,0.02,0.1963495408493621,0.029628765308085,0.029568400343567378,3.3747427581134596e-13,0.1966079264878,126,0.2041536363692975
tensor,250.0,0.04,0.1963495408493621,0.02992685825466,0.029568400343567378,0.0,0.1973830834044,122,1.2123006551844284
tensor,300.0,0.01,0.28274333882308134,0.03544888883181,0.03543027095262313,0.0,0.2828363576523,138,0.05254794469893298
tensor,300.0,0.02,0.28274333882308134,0.03554241969206,0.03543027095262313,0.0,0.2831154141427,132,0.31653367705493096
tensor,300.0,0.04,0.28274333882308134,0.0360962003477,0.03543027095262313,5.540742157506939e-12,0.2842316395509,118,1.8795492587887486
tensor,350.0,0.01,0.38484510006474965,0.044621837874315,0.044583439767597766,2.2423740226965776e-13,0.3849717090283,136,0.08612638889551327
tensor,350.0,0.02,0.38484510006474965,0.04481149040507,0.044583439767597766,0.0,0.3853515359153,130,0.5115142273925066
tensor,350.0,0.04,0.38484510006474965,0.045930883328230004,0.044583439767597766,1.4804955063232162e-11,0.3868705753459,123,3.022296098408117
tensor,400.0,0.01,0.5026548245743669,0.060666427587085,0.06055884464895237,1.648184426415599e-13,0.5028201913825,133,0.1776502487064624
tensor,400.0,0.02,0.5026548245743669,0.061153925392985004,0.06055884464895237,1.6350456738918187e-13,0.5033162725819,129,0.9826487732422784
tensor,400.0,0.04,0.5026548245743669,0.06404440495227501,0.06055884464895237,2.7416915030046065e-09,0.5052721649612,122,5.755658522760365
