law,R,f,eps_over_R,eps,N,k,k_sharp,rel_err,phi_bar,ksp_its,run_dir
tensor,0.00025,0.1963495408493621,0.02,5e-06,1024,0.029628765308085,0.029568400343567378,0.002041536363692975,0.1966079264878,126,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__tensor_R250_e0.02
tensor,0.0003,0.28274333882308134,0.02,5.999999999999999e-06,854,0.03554241969206,0.03543027095262313,0.0031653367705493096,0.2831154141427,132,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__tensor_R300_e0.02
tensor,0.00035,0.38484510006474965,0.02,7e-06,732,0.04481149040507,0.044583439767597766,0.005115142273925066,0.3853515359153,130,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__tensor_R350_e0.02
tensor,0.00039999999999999996,0.5026548245743669,0.02,8e-06,640,0.061153925392985004,0.06055884464895237,0.009826487732422784,0.5033162725819,129,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__tensor_R400_e0.02
tensor,0.000125,0.049087385212340524,0.04,5e-06,1024,0.02209083173633,0.02202729014378651,0.0028846758783633852,0.04934577085113,122,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__tensor_R125_e0.04
tensor,0.000175,0.09621127501618741,0.04,7e-06,732,0.02431470244997,0.02417681498872724,0.005703293064328374,0.09671771086863,122,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__tensor_R175_e0.04
tensor,0.00025,0.1963495408493621,0.04,1e-05,512,0.02992685825466,0.029568400343567378,0.012123006551844284,0.1973830834044,122,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__tensor_R250_e0.04
tensor,0.0003,0.28274333882308134,0.04,1.1999999999999999e-05,428,0.0360962003477,0.03543027095262313,0.018795492587887486,0.2842316395509,118,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__tensor_R300_e0.04
tensor,0.00035,0.38484510006474965,0.04,1.4e-05,366,0.045930883328230004,0.044583439767597766,0.03022296098408117,0.3868705753459,123,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__tensor_R350_e0.04
tensor,0.00039999999999999996,0.5026548245743669,0.04,1.6e-05,320,0.06404440495227501,0.06055884464895237,0.05755658522760365,0.5052721649612,122,singleice_2D_L1mm_R250um_keff__snow_T-20_h1.00_1d__tensor_R400_e0.04
