# periodic 2D packing, generated 2026-07-28T01:50:53.636087+00:00
# porosity_achieved = 0.249914  (target 0.250000)
# header row is 'Lx Ly'; grain rows are 'x y r', all in metres
2.000000000000e-03 2.000000000000e-03
5.157728001857e-04 1.076406625690e-03 4.364938446869e-05
1.944906042629e-03 8.633694899397e-04 3.057822850693e-05
1.377279413562e-03 1.341784420862e-03 3.230205072252e-05
1.128349595314e-03 1.154523592040e-03 1.171568800104e-05
1.665224069534e-03 5.949529521214e-05 9.000000000000e-05
4.227311269454e-04 1.676531793457e-03 7.036847930739e-05
1.498564128294e-03 1.332752333742e-03 3.374900958764e-05
1.654503362073e-03 3.485937191841e-04 5.847303940494e-05
1.654118953405e-03 9.910420695885e-04 4.570774803007e-05
1.595970575303e-03 1.834469843861e-03 3.010680035215e-05
8.803150578200e-04 1.833096983279e-03 6.474433557808e-05
1.070053929996e-04 6.878311046643e-04 3.400080553158e-05
1.377391700290e-03 4.402458895316e-04 3.369166703332e-05
2.220660214986e-05 1.853043021352e-03 2.672472353611e-05
1.551423254465e-04 1.462178263653e-03 4.985613337208e-05
7.606207127707e-04 1.266782189131e-03 3.779071599692e-05
1.764031384110e-04 7.453878738633e-04 5.215952686579e-05
9.622964478096e-04 1.779296522820e-03 2.931412963353e-05
1.703813486073e-03 4.410514264820e-04 4.231224031433e-05
3.874983064691e-04 1.583170522070e-03 2.541972552380e-05
1.574253736929e-03 1.656986276282e-03 6.048497432676e-05
1.970553280890e-03 1.083767088607e-03 4.362716615448e-05
2.477474382308e-05 7.087529677522e-04 4.684985875466e-05
8.485702686272e-04 1.288330817267e-03 4.876020194690e-05
1.434363692058e-03 7.402228867667e-04 2.395755540077e-05
1.476583287234e-03 8.159542661102e-04 5.874775783835e-05
5.868263973786e-04 5.852257467673e-04 9.000000000000e-05
1.675558193774e-03 1.530072555128e-03 1.750420675695e-05
7.368752687800e-04 2.644006751026e-04 1.672587223448e-05
4.361270201174e-04 1.023675289798e-03 1.871352983508e-05
9.257931156367e-04 8.744838673134e-04 6.048479048549e-05
1.196918105915e-03 1.989768520969e-03 4.235219791232e-05
1.681223549029e-03 2.207939041003e-04 6.809022814581e-05
1.430057334551e-03 1.130096893168e-03 5.699012036740e-05
1.256947191725e-04 4.474804026746e-04 4.412155312072e-05
1.147838307166e-03 1.911806617528e-03 4.577241249638e-05
6.574271441990e-04 1.782650083130e-04 3.648065940759e-05
1.407017719619e-03 1.897962012031e-03 6.130691211387e-05
1.559471468953e-04 1.368942163547e-03 2.257412883801e-05
1.323424299327e-03 3.958972303697e-04 3.216030977852e-05
1.558851354151e-03 8.852889478775e-04 4.484140432630e-05
5.978217544058e-05 5.688600429064e-04 9.000000000000e-05
1.115511883888e-04 9.809268952088e-04 2.709720082364e-05
1.861549266740e-03 1.668672064827e-03 2.315318287314e-05
1.714504278530e-03 9.390693871699e-04 2.996466609012e-05
4.691435358245e-04 1.797912804114e-05 6.447635647620e-05
1.850202502144e-03 1.730095762023e-03 3.530977141736e-05
8.795345451706e-04 4.753606473485e-04 7.700235450620e-05
1.031260091271e-03 2.551703913504e-04 1.557080569239e-05
